row,Year,Product_type,Brand,Title,Ticker,Mkt_Date,Mkt_Date_plus6,close,close_plus6,market_cap_cur,shares_out,year_inc,spx_close,spx_plus6,rtn_vs_spx,rtn,spx
559,2020,Food,Planters ,,KHC,2/3/2020,8/3/2020,$29.15 ,$34.79 ,"$48,362,165,585 ","1,226,999,000",2013,"9,005.00","10,455.00",0.032460335,0.19348199,0.161021655
560,2020,Food,Pop-Tarts Pretzel ,,KHC,2/3/2020,8/3/2020,$29.15 ,$34.79 ,"$48,362,165,585 ","1,226,999,000",2013,"9,005.00","10,455.00",0.032460335,0.19348199,0.161021655
561,2020,Food,"Pringles, Rick and Morty",,KHC,2/3/2020,8/3/2020,$29.15 ,$34.79 ,"$48,362,165,585 ","1,226,999,000",2013,"9,005.00","10,455.00",0.032460335,0.19348199,0.161021655
59,1998,Website,Autobytel,Pajamas,ABTL,1/26/1998,7/27/1998,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,586.92,533.08,#VALUE!,#VALUE!,-0.091743163
80,1999,Website,Buy.com,Aliens,BUYX,2/1/1999,8/2/1999,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,537.92,669.31,#VALUE!,#VALUE!,0.2442443
81,1999,Website,HotJobs.com,,HOTJ,2/1/1999,8/2/1999,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,537.92,669.31,#VALUE!,#VALUE!,0.2442443
82,1999,Website,Monster.com,When I Grow Up,MWW,2/1/1999,8/2/1999,#VALUE!,#VALUE!,"$1,691,560 ","4,228,906,000",2003,537.92,669.31,#VALUE!,#VALUE!,0.2442443
96,2000,Website,AutoTrader.com,I Need a Car,AUTO,1/31/2000,7/31/2000,#VALUE!,#VALUE!,"$5,829,532,000 ","917,169,900",2015,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
97,2000,Website,Britannica.com[12],Untitled,none,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
98,2000,Website,Computer.com,Mike and Mike,NONE,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
99,2000,Website,e1040.com,Charity,none,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
100,2000,Website,EDS,Cat Herders,EDS,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
101,2000,Website,Epidemic.com,Bathroom,none,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
102,2000,Website,E*Trade,Wasted 2 Million,ETFC,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
103,2000,Website,E*Trade,Out the Wazoo,ETFC,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
104,2000,Website,E*Trade,Basketball Prodigy,ETFC,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
105,2000,Website,e-stamp.com,Time Saving Tips,STMP,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
106,2000,Website,Hotjobs.com,Negotiations,HOTJ,1/31/2000,7/31/2000,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,429.15,358.62,#VALUE!,#VALUE!,-0.164366405
107,2000,Website,Kforce,Looking for a Job,KFRC,1/31/2000,7/31/2000,$14.75 ,$4.50 ,"$1,208,118,000 ","20,321,570",1994,429.15,358.62,-0.53054885,-0.694915254,-0.164366405
